case,tag,arm,completion_tokens,wait,hmm,lets,actually,but,total
case_062,cactus0p25,cactus (α=0.25),1406,0,1,6,2,14,23
case_062,mentoredDec0p37,mentored_dec (α=0.37),372,0,0,1,1,1,3
case_062,rFuzzy0p3,r_fuzzy (α=0.3),1197,1,0,5,1,11,18
case_062,specCascOpt0p05,spec_casc_opt (α=0.05),588,0,0,2,0,1,3
case_062,specCascTok0p3,spec_casc_tok (α=0.3),483,0,0,2,0,2,4
case_062,strict,strict,380,0,0,0,0,3,3
case_063,cactus0p25,cactus (α=0.25),746,1,0,2,1,11,15
case_063,mentoredDec0p37,mentored_dec (α=0.37),583,0,0,3,0,3,6
case_063,rFuzzy0p3,r_fuzzy (α=0.3),1698,5,0,4,5,14,28
case_063,specCascOpt0p05,spec_casc_opt (α=0.05),789,4,0,4,1,2,11
case_063,specCascTok0p3,spec_casc_tok (α=0.3),459,0,0,0,0,6,6
case_063,strict,strict,549,0,0,4,0,0,4
case_064,cactus0p25,cactus (α=0.25),1367,2,0,6,1,7,16
case_064,mentoredDec0p37,mentored_dec (α=0.37),637,0,0,2,0,1,3
case_064,rFuzzy0p3,r_fuzzy (α=0.3),3048,14,1,13,9,17,54
case_064,specCascOpt0p05,spec_casc_opt (α=0.05),1529,4,0,8,3,3,18
case_064,specCascTok0p3,spec_casc_tok (α=0.3),850,0,0,2,0,2,4
case_064,strict,strict,1123,1,0,3,0,3,7
case_065,cactus0p25,cactus (α=0.25),2209,1,0,5,2,40,48
case_065,mentoredDec0p37,mentored_dec (α=0.37),782,0,0,1,0,3,4
case_065,rFuzzy0p3,r_fuzzy (α=0.3),1287,3,0,4,3,12,22
case_065,specCascOpt0p05,spec_casc_opt (α=0.05),897,1,0,2,1,5,9
case_065,specCascTok0p3,spec_casc_tok (α=0.3),434,0,0,2,1,2,5
case_065,strict,strict,747,0,0,1,0,4,5
case_066,cactus0p25,cactus (α=0.25),1811,4,0,7,5,17,33
case_066,mentoredDec0p37,mentored_dec (α=0.37),613,0,0,2,0,5,7
case_066,rFuzzy0p3,r_fuzzy (α=0.3),1997,7,0,16,6,19,48
case_066,specCascOpt0p05,spec_casc_opt (α=0.05),1931,8,0,9,6,27,50
case_066,specCascTok0p3,spec_casc_tok (α=0.3),968,1,0,3,1,14,19
case_066,strict,strict,850,1,0,0,0,7,8
case_067,cactus0p25,cactus (α=0.25),884,0,0,2,2,14,18
case_067,mentoredDec0p37,mentored_dec (α=0.37),674,1,0,2,0,3,6
case_067,rFuzzy0p3,r_fuzzy (α=0.3),1054,0,0,6,2,3,11
case_067,specCascOpt0p05,spec_casc_opt (α=0.05),799,8,0,5,3,1,17
case_067,specCascTok0p3,spec_casc_tok (α=0.3),389,0,0,2,0,2,4
case_067,strict,strict,581,0,0,2,0,6,8
case_068,cactus0p25,cactus (α=0.25),717,0,0,3,0,4,7
case_068,mentoredDec0p37,mentored_dec (α=0.37),584,0,0,0,0,2,2
case_068,rFuzzy0p3,r_fuzzy (α=0.3),948,0,0,1,0,4,5
case_068,specCascOpt0p05,spec_casc_opt (α=0.05),747,0,0,2,0,5,7
case_068,specCascTok0p3,spec_casc_tok (α=0.3),709,0,0,2,0,5,7
case_068,strict,strict,468,0,0,1,0,0,1
case_069,cactus0p25,cactus (α=0.25),692,0,0,1,0,5,6
case_069,mentoredDec0p37,mentored_dec (α=0.37),712,0,0,2,0,2,4
case_069,rFuzzy0p3,r_fuzzy (α=0.3),768,1,0,2,0,3,6
case_069,specCascOpt0p05,spec_casc_opt (α=0.05),1088,0,0,1,2,9,12
case_069,specCascTok0p3,spec_casc_tok (α=0.3),620,0,0,1,0,2,3
case_069,strict,strict,537,0,0,3,0,1,4
case_070,cactus0p25,cactus (α=0.25),562,0,0,1,0,4,5
case_070,mentoredDec0p37,mentored_dec (α=0.37),409,0,0,4,0,0,4
case_070,rFuzzy0p3,r_fuzzy (α=0.3),1167,4,0,4,5,6,19
case_070,specCascOpt0p05,spec_casc_opt (α=0.05),520,0,0,0,1,1,2
case_070,specCascTok0p3,spec_casc_tok (α=0.3),420,0,0,1,0,3,4
case_070,strict,strict,552,0,0,3,1,3,7
case_071,cactus0p25,cactus (α=0.25),974,0,0,4,2,5,11
case_071,mentoredDec0p37,mentored_dec (α=0.37),630,0,0,1,0,4,5
case_071,rFuzzy0p3,r_fuzzy (α=0.3),1354,3,0,0,5,9,17
case_071,specCascOpt0p05,spec_casc_opt (α=0.05),2500,6,0,4,4,9,23
case_071,specCascTok0p3,spec_casc_tok (α=0.3),605,1,0,2,0,2,5
case_071,strict,strict,447,0,0,1,0,1,2
case_072,cactus0p25,cactus (α=0.25),475,0,0,2,0,3,5
case_072,mentoredDec0p37,mentored_dec (α=0.37),976,0,0,2,1,11,14
case_072,rFuzzy0p3,r_fuzzy (α=0.3),738,2,0,0,1,1,4
case_072,specCascOpt0p05,spec_casc_opt (α=0.05),746,0,0,0,0,3,3
case_072,specCascTok0p3,spec_casc_tok (α=0.3),531,0,0,0,0,6,6
case_072,strict,strict,679,0,0,1,1,5,7
case_073,cactus0p25,cactus (α=0.25),648,0,0,1,0,4,5
case_073,mentoredDec0p37,mentored_dec (α=0.37),541,0,0,0,0,2,2
case_073,rFuzzy0p3,r_fuzzy (α=0.3),635,0,0,1,0,3,4
case_073,specCascOpt0p05,spec_casc_opt (α=0.05),448,0,0,1,0,3,4
case_073,specCascTok0p3,spec_casc_tok (α=0.3),395,0,0,2,0,1,3
case_073,strict,strict,596,0,0,1,0,8,9
case_074,cactus0p25,cactus (α=0.25),799,2,0,4,0,6,12
case_074,mentoredDec0p37,mentored_dec (α=0.37),724,0,0,1,0,3,4
case_074,rFuzzy0p3,r_fuzzy (α=0.3),1392,6,0,7,5,12,30
case_074,specCascOpt0p05,spec_casc_opt (α=0.05),799,2,0,2,1,2,7
case_074,specCascTok0p3,spec_casc_tok (α=0.3),705,1,0,2,0,5,8
case_074,strict,strict,877,0,0,4,0,6,10
case_075,cactus0p25,cactus (α=0.25),772,1,0,3,0,1,5
case_075,mentoredDec0p37,mentored_dec (α=0.37),969,4,0,3,0,3,10
case_075,rFuzzy0p3,r_fuzzy (α=0.3),1025,1,0,4,1,1,7
case_075,specCascOpt0p05,spec_casc_opt (α=0.05),698,1,0,1,1,3,6
case_075,specCascTok0p3,spec_casc_tok (α=0.3),847,1,0,1,0,1,3
case_075,strict,strict,563,1,0,3,0,1,5
case_076,cactus0p25,cactus (α=0.25),1805,2,0,5,5,18,30
case_076,mentoredDec0p37,mentored_dec (α=0.37),1110,1,0,1,1,5,8
case_076,rFuzzy0p3,r_fuzzy (α=0.3),3282,6,1,13,10,37,67
case_076,specCascOpt0p05,spec_casc_opt (α=0.05),2265,3,0,4,2,26,35
case_076,specCascTok0p3,spec_casc_tok (α=0.3),2016,1,0,4,1,31,37
case_076,strict,strict,1222,0,0,3,0,5,8
case_077,cactus0p25,cactus (α=0.25),1760,1,0,4,0,21,26
case_077,mentoredDec0p37,mentored_dec (α=0.37),2814,1,0,8,5,31,45
case_077,rFuzzy0p3,r_fuzzy (α=0.3),3630,11,0,13,10,46,80
case_077,specCascOpt0p05,spec_casc_opt (α=0.05),2686,6,0,9,12,35,62
case_077,specCascTok0p3,spec_casc_tok (α=0.3),3780,2,0,4,4,23,33
case_077,strict,strict,2122,2,0,3,5,12,22
case_078,cactus0p25,cactus (α=0.25),4297,5,1,14,12,62,94
case_078,mentoredDec0p37,mentored_dec (α=0.37),2007,3,1,4,5,29,42
case_078,rFuzzy0p3,r_fuzzy (α=0.3),2692,7,1,4,6,33,51
case_078,specCascOpt0p05,spec_casc_opt (α=0.05),2727,6,0,7,9,40,62
case_078,specCascTok0p3,spec_casc_tok (α=0.3),989,0,0,2,0,15,17
case_078,strict,strict,1162,0,0,3,1,11,15
case_079,cactus0p25,cactus (α=0.25),959,0,0,5,1,4,10
case_079,mentoredDec0p37,mentored_dec (α=0.37),913,0,0,1,0,3,4
case_079,rFuzzy0p3,r_fuzzy (α=0.3),626,2,0,2,0,4,8
case_079,specCascOpt0p05,spec_casc_opt (α=0.05),1022,1,0,5,0,9,15
case_079,specCascTok0p3,spec_casc_tok (α=0.3),826,0,0,3,0,4,7
case_079,strict,strict,606,0,0,3,0,4,7
case_080,cactus0p25,cactus (α=0.25),950,1,0,2,0,13,16
case_080,mentoredDec0p37,mentored_dec (α=0.37),657,0,0,2,0,3,5
case_080,rFuzzy0p3,r_fuzzy (α=0.3),1558,0,0,5,0,12,17
case_080,specCascOpt0p05,spec_casc_opt (α=0.05),1124,6,0,2,3,5,16
case_080,specCascTok0p3,spec_casc_tok (α=0.3),417,0,0,1,0,0,1
case_080,strict,strict,600,0,0,1,0,3,4
case_081,cactus0p25,cactus (α=0.25),611,0,0,2,1,1,4
case_081,mentoredDec0p37,mentored_dec (α=0.37),721,0,0,1,0,1,2
case_081,rFuzzy0p3,r_fuzzy (α=0.3),1094,0,0,2,3,3,8
case_081,specCascOpt0p05,spec_casc_opt (α=0.05),666,0,0,1,0,2,3
case_081,specCascTok0p3,spec_casc_tok (α=0.3),865,0,0,3,0,1,4
case_081,strict,strict,459,0,0,1,0,1,2
case_082,cactus0p25,cactus (α=0.25),1440,1,0,2,2,15,20
case_082,mentoredDec0p37,mentored_dec (α=0.37),1120,2,0,2,1,4,9
case_082,rFuzzy0p3,r_fuzzy (α=0.3),8390,36,3,39,31,111,220
case_082,specCascOpt0p05,spec_casc_opt (α=0.05),9000,49,1,29,40,102,221
case_082,specCascTok0p3,spec_casc_tok (α=0.3),1359,2,0,1,0,6,9
case_082,strict,strict,1964,2,0,4,3,27,36
case_083,cactus0p25,cactus (α=0.25),664,0,0,2,0,1,3
case_083,mentoredDec0p37,mentored_dec (α=0.37),337,0,0,0,0,0,0
case_083,rFuzzy0p3,r_fuzzy (α=0.3),531,2,0,4,2,4,12
case_083,specCascOpt0p05,spec_casc_opt (α=0.05),429,0,0,1,0,1,2
case_083,specCascTok0p3,spec_casc_tok (α=0.3),370,0,0,0,0,0,0
case_083,strict,strict,592,1,0,2,0,1,4
case_084,cactus0p25,cactus (α=0.25),1571,4,0,2,3,8,17
case_084,mentoredDec0p37,mentored_dec (α=0.37),1225,1,0,6,1,5,13
case_084,rFuzzy0p3,r_fuzzy (α=0.3),2342,8,0,10,8,12,38
case_084,specCascOpt0p05,spec_casc_opt (α=0.05),6493,45,0,27,10,38,120
case_084,specCascTok0p3,spec_casc_tok (α=0.3),1344,2,0,5,0,8,15
case_084,strict,strict,1012,1,0,5,0,1,7
case_085,cactus0p25,cactus (α=0.25),849,2,0,5,3,3,13
case_085,mentoredDec0p37,mentored_dec (α=0.37),711,2,0,4,0,4,10
case_085,rFuzzy0p3,r_fuzzy (α=0.3),859,4,0,2,3,6,15
case_085,specCascOpt0p05,spec_casc_opt (α=0.05),595,1,0,2,1,3,7
case_085,specCascTok0p3,spec_casc_tok (α=0.3),693,1,0,1,1,2,5
case_085,strict,strict,575,1,0,1,0,3,5
case_086,cactus0p25,cactus (α=0.25),823,0,0,4,1,4,9
case_086,mentoredDec0p37,mentored_dec (α=0.37),400,0,0,1,0,3,4
case_086,rFuzzy0p3,r_fuzzy (α=0.3),493,0,0,1,0,2,3
case_086,specCascOpt0p05,spec_casc_opt (α=0.05),604,0,0,2,0,1,3
case_086,specCascTok0p3,spec_casc_tok (α=0.3),521,0,0,2,0,2,4
case_086,strict,strict,546,0,0,1,0,3,4
case_087,cactus0p25,cactus (α=0.25),4014,32,3,22,22,56,135
case_087,mentoredDec0p37,mentored_dec (α=0.37),1454,3,0,8,1,3,15
case_087,rFuzzy0p3,r_fuzzy (α=0.3),7103,46,2,45,31,93,217
case_087,specCascOpt0p05,spec_casc_opt (α=0.05),1491,10,0,9,9,18,46
case_087,specCascTok0p3,spec_casc_tok (α=0.3),1293,5,0,9,3,10,27
case_087,strict,strict,979,2,0,3,0,8,13
case_088,cactus0p25,cactus (α=0.25),1734,3,0,3,2,13,21
case_088,mentoredDec0p37,mentored_dec (α=0.37),910,0,0,1,0,1,2
case_088,rFuzzy0p3,r_fuzzy (α=0.3),2188,8,0,4,8,17,37
case_088,specCascOpt0p05,spec_casc_opt (α=0.05),1327,1,0,2,0,6,9
case_088,specCascTok0p3,spec_casc_tok (α=0.3),914,1,0,4,0,5,10
case_088,strict,strict,885,1,0,4,0,4,9
case_089,cactus0p25,cactus (α=0.25),758,0,0,2,0,5,7
case_089,mentoredDec0p37,mentored_dec (α=0.37),919,0,0,1,2,1,4
case_089,rFuzzy0p3,r_fuzzy (α=0.3),1249,5,0,7,4,7,23
case_089,specCascOpt0p05,spec_casc_opt (α=0.05),702,0,0,2,0,3,5
case_089,specCascTok0p3,spec_casc_tok (α=0.3),625,0,0,0,1,3,4
case_089,strict,strict,577,0,0,1,0,8,9
case_090,cactus0p25,cactus (α=0.25),716,0,0,3,0,2,5
case_090,mentoredDec0p37,mentored_dec (α=0.37),861,1,0,2,0,5,8
case_090,rFuzzy0p3,r_fuzzy (α=0.3),2399,11,0,16,4,17,48
case_090,specCascOpt0p05,spec_casc_opt (α=0.05),911,1,0,5,2,6,14
case_090,specCascTok0p3,spec_casc_tok (α=0.3),700,0,0,6,0,3,9
case_090,strict,strict,1133,0,0,6,0,7,13
case_091,cactus0p25,cactus (α=0.25),1181,0,0,5,0,16,21
case_091,mentoredDec0p37,mentored_dec (α=0.37),418,0,0,0,0,2,2
case_091,rFuzzy0p3,r_fuzzy (α=0.3),596,1,0,0,0,9,10
case_091,specCascOpt0p05,spec_casc_opt (α=0.05),897,0,0,1,2,5,8
case_091,specCascTok0p3,spec_casc_tok (α=0.3),475,0,0,1,0,1,2
case_091,strict,strict,423,0,0,2,0,5,7
case_092,cactus0p25,cactus (α=0.25),1370,1,0,5,3,24,33
case_092,mentoredDec0p37,mentored_dec (α=0.37),652,0,0,1,0,4,5
case_092,rFuzzy0p3,r_fuzzy (α=0.3),2028,8,0,9,7,26,50
case_092,specCascOpt0p05,spec_casc_opt (α=0.05),580,0,0,1,1,2,4
case_092,specCascTok0p3,spec_casc_tok (α=0.3),905,0,0,1,1,11,13
case_092,strict,strict,778,0,0,3,0,6,9
case_093,cactus0p25,cactus (α=0.25),1163,0,0,4,1,17,22
case_093,mentoredDec0p37,mentored_dec (α=0.37),445,0,0,0,0,4,4
case_093,rFuzzy0p3,r_fuzzy (α=0.3),637,0,0,3,2,10,15
case_093,specCascOpt0p05,spec_casc_opt (α=0.05),766,0,0,0,0,7,7
case_093,specCascTok0p3,spec_casc_tok (α=0.3),479,0,0,1,0,4,5
case_093,strict,strict,641,0,0,2,0,5,7
case_094,cactus0p25,cactus (α=0.25),4128,12,0,22,8,41,83
case_094,mentoredDec0p37,mentored_dec (α=0.37),1581,4,0,6,2,11,23
case_094,rFuzzy0p3,r_fuzzy (α=0.3),9000,66,2,73,18,153,312
case_094,specCascOpt0p05,spec_casc_opt (α=0.05),9000,59,0,42,24,111,236
case_094,specCascTok0p3,spec_casc_tok (α=0.3),1487,3,0,8,0,10,21
case_094,strict,strict,1413,2,0,4,2,11,19
case_095,cactus0p25,cactus (α=0.25),2344,5,1,9,3,9,27
case_095,mentoredDec0p37,mentored_dec (α=0.37),716,0,0,1,0,2,3
case_095,rFuzzy0p3,r_fuzzy (α=0.3),2314,5,0,8,7,17,37
case_095,specCascOpt0p05,spec_casc_opt (α=0.05),1402,0,0,3,1,1,5
case_095,specCascTok0p3,spec_casc_tok (α=0.3),670,0,0,1,0,2,3
case_095,strict,strict,708,0,0,3,0,5,8
case_096,cactus0p25,cactus (α=0.25),966,0,0,2,2,8,12
case_096,mentoredDec0p37,mentored_dec (α=0.37),513,0,0,1,0,0,1
case_096,rFuzzy0p3,r_fuzzy (α=0.3),1080,0,0,1,1,19,21
case_096,specCascOpt0p05,spec_casc_opt (α=0.05),952,2,0,2,3,10,17
case_096,specCascTok0p3,spec_casc_tok (α=0.3),1686,2,0,2,2,18,24
case_096,strict,strict,591,0,0,1,0,3,4
case_097,cactus0p25,cactus (α=0.25),832,2,0,2,1,5,10
case_097,mentoredDec0p37,mentored_dec (α=0.37),974,1,0,7,1,11,20
case_097,rFuzzy0p3,r_fuzzy (α=0.3),1003,1,0,4,2,12,19
case_097,specCascOpt0p05,spec_casc_opt (α=0.05),721,0,1,1,1,4,7
case_097,specCascTok0p3,spec_casc_tok (α=0.3),972,2,0,2,0,7,11
case_097,strict,strict,753,1,0,2,0,3,6
case_098,cactus0p25,cactus (α=0.25),1680,4,1,15,3,28,51
case_098,mentoredDec0p37,mentored_dec (α=0.37),459,0,0,1,0,2,3
case_098,rFuzzy0p3,r_fuzzy (α=0.3),914,5,0,0,2,10,17
case_098,specCascOpt0p05,spec_casc_opt (α=0.05),1440,7,0,9,4,15,35
case_098,specCascTok0p3,spec_casc_tok (α=0.3),355,0,0,2,0,1,3
case_098,strict,strict,498,0,0,1,1,5,7
case_099,cactus0p25,cactus (α=0.25),979,3,0,4,3,9,19
case_099,mentoredDec0p37,mentored_dec (α=0.37),401,0,0,2,0,3,5
case_099,rFuzzy0p3,r_fuzzy (α=0.3),582,2,0,3,2,2,9
case_099,specCascOpt0p05,spec_casc_opt (α=0.05),786,2,0,4,0,6,12
case_099,specCascTok0p3,spec_casc_tok (α=0.3),437,0,0,2,0,5,7
case_099,strict,strict,459,0,0,1,0,0,1
case_100,cactus0p25,cactus (α=0.25),3567,13,0,11,16,41,81
case_100,mentoredDec0p37,mentored_dec (α=0.37),880,0,0,2,0,10,12
case_100,rFuzzy0p3,r_fuzzy (α=0.3),2340,5,0,9,8,28,50
case_100,specCascOpt0p05,spec_casc_opt (α=0.05),2403,10,0,9,10,27,56
case_100,specCascTok0p3,spec_casc_tok (α=0.3),1305,3,0,3,5,15,26
case_100,strict,strict,1223,1,0,0,0,13,14
case_101,cactus0p25,cactus (α=0.25),1238,3,0,7,4,10,24
case_101,mentoredDec0p37,mentored_dec (α=0.37),506,0,0,2,0,3,5
case_101,rFuzzy0p3,r_fuzzy (α=0.3),1229,3,0,3,2,14,22
case_101,specCascOpt0p05,spec_casc_opt (α=0.05),921,3,0,4,2,6,15
case_101,specCascTok0p3,spec_casc_tok (α=0.3),975,1,0,4,1,6,12
case_101,strict,strict,906,2,0,4,0,6,12
case_102,cactus0p25,cactus (α=0.25),706,0,0,1,1,7,9
case_102,mentoredDec0p37,mentored_dec (α=0.37),1086,2,0,1,0,8,11
case_102,rFuzzy0p3,r_fuzzy (α=0.3),609,0,0,4,1,3,8
case_102,specCascOpt0p05,spec_casc_opt (α=0.05),592,0,0,2,1,2,5
case_102,specCascTok0p3,spec_casc_tok (α=0.3),764,0,0,2,1,11,14
case_102,strict,strict,730,0,0,2,1,8,11
case_103,cactus0p25,cactus (α=0.25),3242,14,1,8,11,52,86
case_103,mentoredDec0p37,mentored_dec (α=0.37),1815,0,0,4,3,16,23
case_103,rFuzzy0p3,r_fuzzy (α=0.3),4053,6,0,7,7,60,80
case_103,specCascOpt0p05,spec_casc_opt (α=0.05),1012,1,0,1,0,13,15
case_103,specCascTok0p3,spec_casc_tok (α=0.3),1539,0,0,3,0,18,21
case_103,strict,strict,993,0,0,2,3,14,19
case_104,cactus0p25,cactus (α=0.25),5393,20,1,36,23,96,176
case_104,mentoredDec0p37,mentored_dec (α=0.37),953,1,0,4,1,10,16
case_104,rFuzzy0p3,r_fuzzy (α=0.3),5110,35,3,38,21,69,166
case_104,specCascOpt0p05,spec_casc_opt (α=0.05),2279,10,1,5,7,31,54
case_104,specCascTok0p3,spec_casc_tok (α=0.3),1356,2,0,4,1,10,17
case_104,strict,strict,1178,5,1,5,2,9,22
case_105,cactus0p25,cactus (α=0.25),949,0,0,0,0,4,4
case_105,mentoredDec0p37,mentored_dec (α=0.37),600,1,0,1,0,2,4
case_105,rFuzzy0p3,r_fuzzy (α=0.3),632,2,0,1,1,7,11
case_105,specCascOpt0p05,spec_casc_opt (α=0.05),568,0,0,2,2,0,4
case_105,specCascTok0p3,spec_casc_tok (α=0.3),568,0,0,3,0,2,5
case_105,strict,strict,782,0,0,3,0,11,14
case_106,cactus0p25,cactus (α=0.25),2462,1,0,7,2,18,28
case_106,mentoredDec0p37,mentored_dec (α=0.37),1595,0,1,2,1,16,20
case_106,rFuzzy0p3,r_fuzzy (α=0.3),1546,3,0,3,3,14,23
case_106,specCascOpt0p05,spec_casc_opt (α=0.05),2735,6,0,7,4,20,37
case_106,specCascTok0p3,spec_casc_tok (α=0.3),1491,1,0,4,0,11,16
case_106,strict,strict,992,0,0,2,1,12,15
case_107,cactus0p25,cactus (α=0.25),842,2,0,1,1,8,12
case_107,mentoredDec0p37,mentored_dec (α=0.37),858,1,0,1,0,10,12
case_107,rFuzzy0p3,r_fuzzy (α=0.3),2110,3,0,8,1,25,37
case_107,specCascOpt0p05,spec_casc_opt (α=0.05),838,3,0,4,2,7,16
case_107,specCascTok0p3,spec_casc_tok (α=0.3),943,0,0,3,1,10,14
case_107,strict,strict,1313,0,0,2,1,11,14
case_108,cactus0p25,cactus (α=0.25),463,0,0,0,0,0,0
case_108,mentoredDec0p37,mentored_dec (α=0.37),559,0,0,2,0,1,3
case_108,rFuzzy0p3,r_fuzzy (α=0.3),827,0,0,5,0,5,10
case_108,specCascOpt0p05,spec_casc_opt (α=0.05),703,0,0,2,0,3,5
case_108,specCascTok0p3,spec_casc_tok (α=0.3),454,0,0,3,0,0,3
case_108,strict,strict,448,0,0,1,0,1,2
case_109,cactus0p25,cactus (α=0.25),2827,6,0,11,7,33,57
case_109,mentoredDec0p37,mentored_dec (α=0.37),1095,2,0,3,1,4,10
case_109,rFuzzy0p3,r_fuzzy (α=0.3),3701,20,0,14,18,35,87
case_109,specCascOpt0p05,spec_casc_opt (α=0.05),3953,21,2,15,12,55,105
case_109,specCascTok0p3,spec_casc_tok (α=0.3),1069,1,0,3,1,4,9
case_109,strict,strict,1952,4,1,8,1,7,21
case_110,cactus0p25,cactus (α=0.25),4040,14,1,16,17,53,101
case_110,mentoredDec0p37,mentored_dec (α=0.37),3074,6,0,8,8,24,46
case_110,rFuzzy0p3,r_fuzzy (α=0.3),4798,18,3,36,21,53,131
case_110,specCascOpt0p05,spec_casc_opt (α=0.05),4280,16,0,31,6,39,92
case_110,specCascTok0p3,spec_casc_tok (α=0.3),2643,3,0,9,2,32,46
case_110,strict,strict,1130,0,0,3,2,2,7
case_111,cactus0p25,cactus (α=0.25),1226,2,0,2,4,9,17
case_111,mentoredDec0p37,mentored_dec (α=0.37),1074,1,0,2,1,6,10
case_111,rFuzzy0p3,r_fuzzy (α=0.3),1699,4,0,2,2,15,23
case_111,specCascOpt0p05,spec_casc_opt (α=0.05),2139,4,0,2,2,30,38
case_111,specCascTok0p3,spec_casc_tok (α=0.3),1136,0,0,1,1,10,12
case_111,strict,strict,839,0,0,1,1,5,7
case_112,cactus0p25,cactus (α=0.25),1008,1,0,3,0,12,16
case_112,mentoredDec0p37,mentored_dec (α=0.37),508,0,0,1,0,1,2
case_112,rFuzzy0p3,r_fuzzy (α=0.3),1282,1,0,4,0,5,10
case_112,specCascOpt0p05,spec_casc_opt (α=0.05),569,0,0,0,0,1,1
case_112,specCascTok0p3,spec_casc_tok (α=0.3),537,1,0,1,1,2,5
case_112,strict,strict,579,0,0,1,0,4,5
case_113,cactus0p25,cactus (α=0.25),636,0,0,4,0,4,8
case_113,mentoredDec0p37,mentored_dec (α=0.37),461,0,0,0,0,0,0
case_113,rFuzzy0p3,r_fuzzy (α=0.3),1436,3,0,4,0,6,13
case_113,specCascOpt0p05,spec_casc_opt (α=0.05),648,0,0,1,0,0,1
case_113,specCascTok0p3,spec_casc_tok (α=0.3),449,0,0,1,0,0,1
case_113,strict,strict,620,0,0,2,0,0,2
case_114,cactus0p25,cactus (α=0.25),3921,23,0,9,10,45,87
case_114,mentoredDec0p37,mentored_dec (α=0.37),2840,8,1,10,7,23,49
case_114,rFuzzy0p3,r_fuzzy (α=0.3),6753,36,1,22,26,84,169
case_114,specCascOpt0p05,spec_casc_opt (α=0.05),9000,59,3,32,42,123,259
case_114,specCascTok0p3,spec_casc_tok (α=0.3),2456,5,0,7,4,13,29
case_114,strict,strict,2240,8,0,9,5,15,37
case_115,cactus0p25,cactus (α=0.25),647,1,0,2,0,3,6
case_115,mentoredDec0p37,mentored_dec (α=0.37),491,0,0,2,0,2,4
case_115,rFuzzy0p3,r_fuzzy (α=0.3),1382,5,0,4,2,6,17
case_115,specCascOpt0p05,spec_casc_opt (α=0.05),1010,2,1,4,3,8,18
case_115,specCascTok0p3,spec_casc_tok (α=0.3),507,0,0,1,0,1,2
case_115,strict,strict,470,0,0,2,0,4,6
case_116,cactus0p25,cactus (α=0.25),1442,4,1,3,4,8,20
case_116,mentoredDec0p37,mentored_dec (α=0.37),1067,1,0,2,0,8,11
case_116,rFuzzy0p3,r_fuzzy (α=0.3),1776,4,0,6,5,15,30
case_116,specCascOpt0p05,spec_casc_opt (α=0.05),1192,2,0,1,2,12,17
case_116,specCascTok0p3,spec_casc_tok (α=0.3),879,0,0,2,0,5,7
case_116,strict,strict,922,0,0,2,1,2,5
case_117,cactus0p25,cactus (α=0.25),5407,14,3,27,17,82,143
case_117,mentoredDec0p37,mentored_dec (α=0.37),4012,10,0,16,9,61,96
case_117,rFuzzy0p3,r_fuzzy (α=0.3),3754,19,1,21,21,44,106
case_117,specCascOpt0p05,spec_casc_opt (α=0.05),8240,29,1,53,25,141,249
case_117,specCascTok0p3,spec_casc_tok (α=0.3),1756,1,1,8,4,29,43
case_117,strict,strict,2954,7,1,15,7,41,71
case_118,cactus0p25,cactus (α=0.25),1145,1,0,5,1,6,13
case_118,mentoredDec0p37,mentored_dec (α=0.37),526,0,0,3,0,3,6
case_118,rFuzzy0p3,r_fuzzy (α=0.3),1568,2,0,6,2,10,20
case_118,specCascOpt0p05,spec_casc_opt (α=0.05),1039,0,0,2,3,2,7
case_118,specCascTok0p3,spec_casc_tok (α=0.3),794,1,0,2,2,1,6
case_118,strict,strict,851,1,0,1,0,1,3
case_119,cactus0p25,cactus (α=0.25),4202,9,0,19,11,43,82
case_119,mentoredDec0p37,mentored_dec (α=0.37),1876,0,0,7,0,4,11
case_119,rFuzzy0p3,r_fuzzy (α=0.3),2592,3,0,8,9,26,46
case_119,specCascOpt0p05,spec_casc_opt (α=0.05),2509,1,0,5,5,21,32
case_119,specCascTok0p3,spec_casc_tok (α=0.3),909,2,0,0,1,6,9
case_119,strict,strict,1999,0,0,7,1,13,21
case_120,cactus0p25,cactus (α=0.25),1588,2,0,10,6,20,38
case_120,mentoredDec0p37,mentored_dec (α=0.37),542,0,0,3,0,4,7
case_120,rFuzzy0p3,r_fuzzy (α=0.3),915,0,1,1,1,4,7
case_120,specCascOpt0p05,spec_casc_opt (α=0.05),932,1,0,3,0,8,12
case_120,specCascTok0p3,spec_casc_tok (α=0.3),825,0,0,2,0,9,11
case_120,strict,strict,671,0,0,1,0,2,3
case_121,cactus0p25,cactus (α=0.25),667,1,0,2,2,6,11
case_121,mentoredDec0p37,mentored_dec (α=0.37),748,0,0,1,1,6,8
case_121,rFuzzy0p3,r_fuzzy (α=0.3),2094,7,0,8,9,27,51
case_121,specCascOpt0p05,spec_casc_opt (α=0.05),2287,8,1,26,9,21,65
case_121,specCascTok0p3,spec_casc_tok (α=0.3),565,0,0,2,0,3,5
case_121,strict,strict,549,1,0,2,1,2,6
case_122,cactus0p25,cactus (α=0.25),1169,1,0,5,3,8,17
case_122,mentoredDec0p37,mentored_dec (α=0.37),485,0,0,2,0,0,2
case_122,rFuzzy0p3,r_fuzzy (α=0.3),563,0,0,2,0,1,3
case_122,specCascOpt0p05,spec_casc_opt (α=0.05),807,1,0,4,1,4,10
